,context,question,answer
51,"Ramayana, originally titled as Kaavyam Ramayanam Kritsnam Sitaayaas Charitham Mahat, is an ancient Indian epic poem which narrates the struggle of the divine prince Rama to rescue his wife Sita from the demon king Ravana. Along with the Mahabharata, it forms the Sanskrit Itihasa. 

The epic, traditionally ascribed to the Hindu sage Valmiki, narrates the life of Rama, the legendary prince of the Kosala Kingdom. It follows his banishment from the kingdom by his father King Dasharatha, his travels across forests in India with his wife Sita and brother Lakshmana, the kidnapping of his wife by Ravana, the demon king of Lanka, resulting in a war with him, and Rama's eventual return to Ayodhya to be crowned king. 

The ""Ramayana"" is one of the largest ancient epics in world literature. It consists of nearly 24,000 verses (mostly set in the Shloka meter), divided into seven Kandas (books) and about 500 sargas (chapters). In Hindu tradition, it is considered to be the ""adi-kavya"" (first poem). It depicts the duties of relationships, portraying ideal characters like the ideal father, the ideal servant, the ideal brother, the ideal wife and the ideal king. ""Ramayana"" was an important influence on later Sanskrit poetry and Hindu life and culture. Like ""Mahabharata"", ""Ramayana"" is not just a story: it presents the teachings of ancient Hindu sages in narrative allegory, interspersing philosophical and ethical elements. The characters Rama, Sita, Lakshmana, Bharata, Hanuman, Shatrughna, and Ravana are all fundamental to the cultural consciousness of India, Nepal, Sri Lanka and south-east Asian countries such as Thailand, Cambodia, Malaysia and Indonesia.",Is he married?,Rama to rescue his wife Sita
52,"CHAPTER XI 

Marie and Victor 

""Are you taking me to the girls, Harry?"" 

""No,"" Harry said. ""It would not be safe to do so. There are already suspicions, and they have been denounced."" 

Marie gave a cry of alarm. 

""I have managed to suppress the document, Marie, and we start with them in a day or two. Still it will be better for you not to go near them. I will arrange for you to meet them to-morrow."" 

""Where am I going, then?"" 

""You are going to the house of a worthy couple, who have shown themselves faithful and trustworthy by nursing a friend of mine, who has for nearly six months been lying ill there. You will be perfectly safe there till we can arrange matters."" 

""But if Robespierre has signed my release, as they said, I am safe enough, surely, and can go where I like."" 

""I think you will be safe from re-arrest here in Paris, Marie, because you could appeal to him; but outside Paris it might be different. However, we can talk about that to-morrow, when you have had a good night's rest."" 

Harry did not think it necessary to say, that when Lebat was missed it would probably be ascertained that he was last seen leaving La Force with her, and that if inquiries were set on foot about him she might be sought for. However, Marie said no more on the subject, quite content that Harry should make whatever arrangements he thought best, and she now began to ask all sorts of questions about her sisters, and so passed the time until they were close to the Place de Carrousel; then Harry called Jacques to stop. ",What about elsewhere?,but outside Paris it might be different
53,"CHAPTER VIII 

AN UNUSUAL COMPACT 

""He'll do it--he is bound to do it!"" cried Ben, as he and Phil hurried down to the dining-room. 

""I think so myself, Ben,"" answered the shipowner's son. But, for some reason, he did not seem as joyful over the outcome of the interview as might have been expected. 

""He won't dare let this news become public property,"" went on the other student. ""He is too afraid of public opinion."" 

""Ben, he thinks we got that lawyer to take the case up."" 

""You told him we hadn't."" 

""But he didn't believe it--I could tell that by his manner. And, Ben, do you know, after all, this looks to me as if we had, somehow, bribed him to be easy on us,"" continued Phil, with added concern. 

""Oh, don't bother your head about that, Phil. We only asked for what is fair, didn't we?"" 

""Yes, but----"" And then the shipowner's son did not finish, because he did not know what to say. In some manner, Phil's conscience troubled him, and he wondered what Dave and Roger would say when they heard of what had occurred. 

During the meal that followed but little was said by any of the boys. Once or twice our hero looked at Phil, but the latter avoided his gaze. As soon as the repast was over, Phil rushed outside, followed by Ben; and that was the last seen of the pair until it was time to go to bed. 

""They have been up to something, that is certain,"" was the comment of the senator's son. ",who was?,"Ben, as he and Phil"
54,"(CNN) -- Sarah McLachlan, the Grammy Award winning singer and songwriter whose ballads helped so many of us through heartache, breakups and loss, was barely out of her teenage years when her first album was released back in 1988. 

Now, she's a 46-year-old divorced mom of two girls touring the country to promote her seventh full-length solo album, called ""Shine On."" 

""I'm a whole hell of a lot older,"" she joked, when I asked her, during a casual conversation at CNN's studios earlier this week, how much her life has changed. 

McLachlan credits her success in the '90s, fueled by memorable hits such as ""I Will Remember You"" and ""Angel,"" with allowing her to take time off, have children and be a full-time parent. Her girls, now ages 7 and 12, have traveled on tour with her since they were babies. 

""They're the great leveler because they couldn't care less what it is that I do for a living,"" she said with a laugh. 

The three-time Grammy Award winner and Canadian-born singer didn't quite set out on her career to empower women, but that's what she's done. She spearheaded the Lilith Fair, a concert tour comprised of only female artists and female-led bands in the late 1990s and again in 2010, which raised millions for charities. 

During our mom-to-mom chat, we talked about her biggest worries as a parent, what she admires about the singer Lorde and why her sex life is thriving. The video above and this transcript of our conversation have been edited for length and clarity: ",Was it intentional?, didn't quite set out on her career to empower women
55,"Benjamin Franklin FRS, FRSE ( April 17, 1790) was one of the Founding Fathers of the United States. Franklin was a renowned polymath and a leading author, printer, political theorist, politician, freemason, postmaster, scientist, inventor, humorist, civic activist, statesman, and diplomat. As a scientist, he was a major figure in the American Enlightenment and the history of physics for his discoveries and theories regarding electricity. As an inventor, he is known for the lightning rod, bifocals, and the Franklin stove, among other inventions. He facilitated many civic organizations, including Philadelphia's fire department and the University of Pennsylvania, an Ivy League institution. 

Franklin earned the title of ""The First American"" for his early and indefatigable campaigning for colonial unity, initially as an author and spokesman in London for several colonies. As the first United States Ambassador to France, he exemplified the emerging American nation. Franklin was foundational in defining the American ethos as a marriage of the practical values of thrift, hard work, education, community spirit, self-governing institutions, and opposition to authoritarianism both political and religious, with the scientific and tolerant values of the Enlightenment. In the words of historian Henry Steele Commager, ""In a Franklin could be merged the virtues of Puritanism without its defects, the illumination of the Enlightenment without its heat."" To Walter Isaacson, this makes Franklin ""the most accomplished American of his age and the most influential in inventing the type of society America would become.""",What are they?," As an inventor, he is known for the lightning rod, bifocals, and the Franklin stove, "
56,"(CNN) -- Casey Anthony is responsible for the 2008 death of her 2-year-old daughter Caylee, a report released Thursday by Florida's Department of Children and Families concludes. 

A month after a jury acquitted Anthony on murder and child neglect charges, the state agency found that Anthony ""is the caregiver responsible for the verified maltreatments of death, threatened harm and failure to protect"" in her daughter's death. 

Carrie Hoeppner, a spokeswoman for the Department of Children and Families, said the report was issued this week as a ""professional courtesy"" after the sheriff's office and prosecutors finished their work on the case. 

She added that the state agency is mandated to conduct reviews when there are allegations that a child dies as a result of abuse, abandonment or neglect. The agency had no contact with the Anthonys prior to the girl's disappearance in the summer of 2008, Hoeppner added. 

The Orange County Sheriff's Office will not take any further action as a result of the report, Capt. Angelo Nieves said Thursday. 

""This closes out the DCF case, and it does not create additional follow-up on our part,"" he said. 

The report said: ""The Department of Children and Families concludes that the actions or the lack of actions by the alleged perpetrator ultimately resulted or contributed in the death of the child."" The report was signed by officials in the department Wednesday. 

Anthony is now free. While she was cleared on murder and aggravated child abuse charges, the 25-year-old Orlando woman was convicted on four counts related to misleading law enforcement authorities. She was sentenced to four years in jail on those convictions, but was given credit for the time she had already served between her arrest and the end of the seven-week trial and was released from jail in mid-July. Prosecutors cannot appeal the acquittals. ",Is the accused in prison now?, but was given credit for the time she had already served between her arrest and the end of the seven-week trial and was released from jail in mid-July.
57,"CHAPTER XXII 

A HURRICANE IN THE JUNGLE 

On and on went the expedition. In the past many small towns and villages had been visited where there were more or less white people; but now they reached a territory where the blacks held full sway, with -- but this was rarely -- a Christian missionary among them. 

At all of the places which were visited Cujo inquired about King Susko and his people, and at last learned that the African had passed to the southeast along the Kassai River, driving before him several hundred head of cattle which he had picked up here and there. 

""Him steal dat cattle,"" explained Cujo, ""but him don't say dat stealin', him say um -- um -"" 

""A tax on the people?"" suggested Dick. 

""Yes, um tax. But him big Vief."" 

""He must be, unless he gives the people some benefit for the tax they are forced to pay,"" said Tom. 

At one of the villages they leaned that there was another American Party in that territory, one sent out by an Eastern college to collect specimens of the flora of central Africa. It was said that the party consisted of an elderly man and half a dozen young fellows. 

""I wouldn't mind meeting that crowd,"" said Sam. ""They might brighten up things a bit."" 

""Never mind; things will pick up when once we meet King Susko,"" said Dick. ""But I would like to know where the crowd is from and who is in it."" 

""It's not likely we would know them if they are from the East,"" said Sam. ""Probably they hail from Yale or Harvard."" ",who did Cujo ask about?,Cujo inquired about King Susko and his people
58,"CHAPTER VI. DISAPPOINTED LOVE. 

I know thee well, thy songs and sighs, A wicked god thou art; And yet, most pleasing to the eyes, And witching to the heart. W. MACKWORTH PRAED. 

The house was dull when Aurelia was gone. Her father was ill at ease and therefore testy, Betty too sore at heart to endure as cheerfully as usual his unwonted ill-humour. Harriet was petulant, and Eugene troublesome, and the two were constantly jarring against one another, since the one missed her companion, the other his playmate; and they were all more sensible than ever how precious and charming an element was lost to the family circle. 

On the next ensuing Sunday, Eugene had made himself extremely obnoxious to Harriet, by persisting in kicking up the dust, and Betty, who had gone on before with her father, was availing herself of the shelter of the great pew to brush with a sharp hand the dust from the little legs, when, even in the depths of their seclusion, the whole party were conscious of a sort of breathless sound of surprise and admiration, a sweep of bows and curtsies, and the measured tread of boots and clank of sword and spurs coming nearer--yes, to the very chancel. Their very door was opened by the old clerk with the most obsequious of reverences, and there entered a gorgeous vision of scarlet and gold, bowing gracefully with a wave of a cocked and plumed hat! 

The Major started, and was moving out of his corner--the seat of honour--but the stranger forbade this by another gesture, and took his place, after standing for a moment with his face hidden in his hat. Then he took an anxious survey, not without an almost imperceptible elevation of eyebrow and shoulder, as if disappointed, and accepted the Prayer-book, which the Major offered him. ",What was Harriet's relationship to Aurelia?,her companion
59,"My summer hols wr CWOT. B4, WE USED 2go 2 NY 2C my bro, his GF & thr 3 :-@ KIDS FTF. ILNY, its gr8. Can you understand this sentence? If you can't, don't feel too bad: neither could the middle school teacher in England who received this as homework. This is Netspeak: the language of computerized communication found on Internet or cellphones. To newcomers, it can look like a completely foreign language. So, what is the ""translation"" of the sentence above? My summer holidays were a complete waste of time. Before, we used to go to New York to see my brother, his girlfriend, and their three screaming kids face to face. I love New York; it's great. School teachers and parents say this new form of writing is harming the English language. Increasing spelling and grammatical mistakes can be seen in students' writing. They fear the language could become corrupted . Everyone should just relax, say linguists . They believe Netspeak is in fact more of a good thing. David Crystal, from the University of Wales, argues that Netspeak and Internet create a new language use and the almost lost art of diary writing has been picked up again. Geoffrey Nunberg, from Stanford University, agrees. ""People get better at writing by writing,"" he says. ""Kids who are now doing text messaging, e-mail, and instant messages will write at least as well as, and possibly better than, their parents."" Linguist James Milroy says, for centuries, it is believed without exception that young people are harming the language. And you can _ that when today's teenagers become tomorrow's parents, they too will think this way. Milroy argues that languages do not and cannot become ""corrupted""; they simply change to meet the new needs. However, Netspeakers do agree that it is important to teach young people how to speak and write Standard English. Cynthia McVey says, ""I can understand Netspeak worries teachers and it's important that they get across to their pupils that text messaging is for fun, but that learning to write proper English is a must for their future."" Perhaps, we should give teenagers a little more trust anyway. Erin, age 12, says, ""I wouldn't use text language in my homework. Text is just for fun.""",who has kids,"my brother, his girlfriend, and their three screaming kids "
60,"CHAPTER TWENTY FOUR. 

A SURPRISING DISCOVERY--AND MORE. 

When Ian Macdonald had seen his father's house fairly stranded on the knoll, and had made it fast there with innumerable ropes, thin and thick, as the Lilliputians secured Gulliver, he bethought him that it was high time to visit the Little Mountain, to which his father had gone on at that time, and inform him of the amazing fact. 

Before setting off, however, common propriety required that he should look in at Willow Creek in passing, not only to let them know what had occurred, if they had not already observed it, but to ask if there was any message for Mr Ravenshaw. 

First releasing Peegwish, who now regarded him as a maniac, he embarked with him in the punt, and rowed over. 

It was by that time approaching the afternoon. Before that--indeed before the house of Angus had gone afloat--Tony, Victor, and Petawanaquat had gone off to the Little Mountain in search of Mr Ravenshaw. Those of the family who remained behind had been so busy about their various avocations, that no one had observed the sudden removal of their neighbour's dwelling. 

""Cora! quick! come here!"" cried Elsie, in a tone that alarmed her sister. ""Am I dreaming?"" 

Cora looked out at the window, where the other stood as if petrified. ""Angus Macdonald's house on the knoll!"" she screamed. 

The scream brought her mother and Miss Trim hurriedly into the room. They stared in speechless amazement, and rubbed their eyes, but they could not rub the house of Angus Macdonald off the knoll. ",what did Cora do?,"looked out at the window,"
